Ejercicio fiscal,Nombre de la Oficina,Tipo de Ocupacion,Calle,Numero,Colonia,Codigo Postal,Clave Municipio,Municipio,Clave Estado,Estado
2016,Oficina Federal de Pesca Jonuta,Oficina Federal de Pesca,Chacamak,Sin Numero,Emiliano Zapata,86980,7,Emiliano Zapata,,
2016,Oficina Federal de Pesca Emiliano Zapata,Oficina Regional de Pesca,Jimenez,707,Centro,88370,14,Guerrero,27,Tabasco
2016,Oficina Regional de Pesca Ciudad Guerrero, , ,Sin Numero, ,95460,178, ,27,Tabasco
2016,Centro Acuicola Los Amates,Centro Acuicola,Carretera Federal 180 Tlacotalpan,Sin Numero,Rancheria Los Amates,95460,178,Tlacotalpan,30,Veracruz
2016,Centro Acuicola El Real,Centro Acuicola, Carretera Sontecomapan Montep°o El Real,Sin Numero,Sontecomapan,95880,20,Catemaco,30,Veracruz
2016,Oficina Federal de Pesca Tuxpan,Oficina de Pesca,Mutualismo esquina Garizurieta,10 Alto,Centro,92800,189,Tuxpan,30,Veracruz de Ignacio de la Llave
2016,Oficina de Pesca Federal Celestun,Oficina de Pesca,5 x 12,110-A,Refugio Pesquero de Cestelun,97367,11,Celestun,31,Yucatan
2016,Centro Acuicola Julian Adame,Centro Acuicola,Carretera Federal 54 tramo Tabasco,Sin Numero,Tayahua (Zapoqui),99540,55,Villanueva,32,Zacatecas
2016,Oficina del Comisionado Veracruz,Oficina del Comisionado,"Manuel Avila Camacho, Plaza Acuario (Planta Alta) ",9,Flores Magon,91900,193,Veracruz,30,Veracruz de Ignacio de la Llave
2016,Oficina Federal de Pesca Mexicali,Oficina de Pesca,Avenida Reforma y Calle L,Sin Numero,Colonia Nueva Mexicali,21100,2,Mexicali,2,Baja California
2016,Oficina Federal de Pesca Ciudad Constitucion,Oficina de Pesca,Boulevard Agustin Olachea entre Nicolas Bravo y Miguel Hidalgo,Sin Numero,Centro,23600,1,Comond£,3,Baja California Sur
2016,Oficina  Federal de Pesca Loreto,Oficina de Pesca,Boulevart Adolfo Lopez Mateos,Sin Numero,Centro,23886,9,Loreto,3,Baja California Sur
2016,Oficina  Federal de Pesca Los Cabos,Oficina de Pesca,Ignacio Altamirano,Sin Numero,San Jose Viejo,23550,8,Los Cabos,3,Baja California Sur
2016,Oficina  Federal de Pesca Acapetahua,Oficina de Pesca,Escuintla-Acapetahua km 1.5,Sin Numero,Iinterior del Cader Acapetahua,30580,3,Acapetahua,7,Chiapas
2016,Oficina  Federal de Pesca Arriaga,Oficina de Pesca,9a Norte esquina Avenida Prolongacion 6a Oriente,28A,Centro,30450,9,Arriaga,7,Chiapas
2016,Oficina  Federal de Pesca Pijijiapan,Oficina de Pesca,Central Poniente entre Primea y Segunda sur,7,Barrio San Martin,30540,69,pijijiapan,7,Chiapas
2016,Oficina  Federal de Pesca Playas de Catazaja,Oficina de Pesca,Prolongacion Morelos Planta Alta,Sin Numero,Antiguo Palacio Municipal,29980,16,Catazaj†,7,Chiapas
2016,Oficina Federal de Pesca Tapachula,Oficina de Pesca,2 Norte Manzana B Lote 5,Sin Numero,Parque Industrial Francisco I. Madero,30830,89,Tapachula,7,Chiapas
2016,Oficina  Federal de Pesca Villa Flores,Oficina de Pesca, Domicilio Conocido Camino al Vergel a un Costado del Auditorio Municipal,Sin Numero,villa flores,30470,108,Villa Flores,7,Chiapas
2016,Oficina  Federal de Pesca Manzanillo,Oficina de Pesca,"Carretera Manzanillo - Campos, Playa Punta Ventanas",Sin Numero,Canal Maritimo,28200,7,Manzanillo,6,Colima
2016,Oficina  Federal de Pesca Tecoman,Oficina de Pesca,Avenida Jose Antonio Lea§o Alvarez del Castillo,590,tecoman,28100,9,Tecom†n,6,Colima
2016,Oficina  Federal de Pesca Tecpan de Galena,Oficina de Pesca,Acapulco-Zihuatanejo km 101.5,Sin Numero,El Cerrito,40900,57,Tecpan de Galeana,12,Guerrero
2016,Oficina  Federal de Pesca Zihuatanejo,Oficina de Pesca,Avenida Morelos,Sin Numero,Centro Social Municipal,40880,38,Zihuatanejo de Azueta,12,Guerrero
2016,Oficina  Federal de Pesca Puerto Vallarta,Oficina de Pesca,Francisco Villa Esquina Gonzalez Gallo Local Numero 10 Plaza Delfines,75,Vida Vallarta,48318,67,Puerto Vallarta,14,Jalisco
2016,Oficina  Federal de Pesca Coahuayana,Oficina de Pesca,24 de Febrero,409,Poblado El Ranchito,60800,14,Coahuayana,16,Michoac†n
2016,Oficina  Federal de Pesca Cuitzeo,Oficina de Pesca,Francisco de Villafuerte,Sin Numero,Centro,58840,20,Cuitzeo,16,Michoac†n
2016,Oficina  Federal de Pesca Lazaro Cardenas,Oficina de Pesca,Avenida Circunvalacion,Sin Numero,Campamento JosÇ Mar°a Morelos,60990,52,L†zaro C†rdenas,16,Michoacan
